sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
39203870573,2022-11-24T06:34:00Z,74,20,22,32,35,57,0.07228915662650602
39192111068,2022-11-23T07:24:30Z,78,19,20,39,70,58,0.1434223541048467
39180671161,2022-11-22T07:59:30Z,75,20,20,35,62,58,0.12922002328288706
39167595204,2022-11-21T09:10:30Z,76,17,20,39,89,58,0.1291866028708134
39156758871,2022-11-20T07:49:30Z,73,20,18,35,77,57,0.1637831603229527
39145368091,2022-11-19T09:07:30Z,65,17,21,27,40,56,0.09974424552429667
39145368090,2022-11-19T04:47:00Z,66,16,22,28,32,56,0.06378600823045268
39135241267,2022-11-18T09:44:30Z,68,17,17,34,40,56,0.18198037466547726
39135241266,2022-11-17T07:51:00Z,72,17,18,37,73,56,0.15922330097087378
39108721806,2022-11-16T08:40:00Z,73,17,18,38,59,56,0.1466544454628781
39108721805,2022-11-15T08:27:30Z,62,14,21,27,24,57,0.07083333333333333
39094075816,2022-11-15T03:04:00Z,62,16,19,27,67,57,0.14397496087636932
39079714606,2022-11-14T07:49:00Z,77,17,20,40,61,57,0.13701431492842536
39072324792,2022-11-13T08:08:30Z,69,19,20,30,74,57,0.12950450450450451
39058253553,2022-11-12T08:20:30Z,81,21,21,39,78,58,0.12313803376365443
39046910609,2022-11-11T07:22:00Z,75,21,20,34,76,58,0.1267605633802817
39035823372,2022-11-10T08:15:00Z,83,21,21,41,77,59,0.12873326467559218
39027966299,2022-11-09T08:22:30Z,78,21,21,36,58,57,0.10033444816053512
39015647838,2022-11-08T07:49:30Z,76,19,22,35,67,57,0.08748615725359911
39000059720,2022-11-07T08:30:30Z,81,19,19,43,63,56,0.12922810060711187
38988742589,2022-11-06T07:18:00Z,75,20,19,36,71,57,0.13762486126526083
38976554544,2022-11-05T06:53:30Z,82,21,21,40,82,56,0.09398099260823653
38967829286,2022-11-04T08:57:30Z,78,19,21,38,38,57,0.10338164251207729
38953297041,2022-11-03T08:48:30Z,84,21,20,43,82,56,0.12510936132983377
38941479399,2022-11-02T09:48:30Z,87,21,21,45,78,58,0.10785159620362382
38929407219,2022-11-01T08:10:30Z,78,19,20,39,106,58,0.12345679012345678
38921097218,2022-10-31T08:04:30Z,84,21,22,41,72,57,0.09139213602550478
38907019077,2022-10-30T07:30:30Z,68,21,21,26,68,57,0.11732605729877217
38895573480,2022-10-29T06:39:30Z,78,17,24,37,22,57,0.06546854942233633
38887575666,2022-10-28T08:41:00Z,81,20,21,40,73,57,0.10070493454179255
38873468374,2022-10-27T08:07:30Z,62,20,21,21,41,57,0.10887772194304858
38870447501,2022-10-27T02:00:00Z,61,16,21,24,31,57,0.08118081180811808
38859292329,2022-10-26T09:11:30Z,80,19,20,41,89,59,0.13982717989002358
38849064370,2022-10-25T10:06:00Z,77,16,19,42,52,58,0.1418744625967326
38837272363,2022-10-24T07:59:30Z,77,19,19,39,65,58,0.12714429868819374
38825118724,2022-10-23T09:07:30Z,79,21,17,41,59,56,0.10592808551992225
38813539530,2022-10-22T05:12:00Z,61,16,20,25,44,56,0.13427561837455831
38802652704,2022-10-21T08:26:00Z,78,20,20,38,82,56,0.10128913443830571
38791329927,2022-10-20T08:46:30Z,78,17,20,41,73,56,0.14930270713699753
38779942295,2022-10-19T09:54:00Z,85,22,20,43,102,58,0.12283345892991711
38772875451,2022-10-18T08:55:30Z,71,16,20,35,83,58,0.14161008729388944
38756063074,2022-10-17T08:48:30Z,79,19,19,41,82,58,0.15583456425406203
38745589409,2022-10-16T08:05:30Z,72,19,20,33,59,57,0.1055753262158956
38731852852,2022-10-15T08:38:00Z,77,17,18,42,36,57,0.1255195344970906
38722660129,2022-10-14T09:07:00Z,71,17,20,34,55,57,0.12687969924812031
38712135364,2022-10-13T09:29:30Z,80,17,21,42,57,59,0.11955593509820667
38698358117,2022-10-12T09:33:30Z,78,17,19,42,73,58,0.129644921552436
